Team Name,Team City,Competition Level,Gender Division,lat,lon
Woolly Mammoth,Gainesville,Club,Men,29.6519684,-82.3249846
Friend Zone,Gainesville ,Club,Mixed,29.6519684,-82.3249846
Snail,Geneseo,Club,Mixed,38.5161207,-98.1567235
Midnight Meat Train,Grand Rapids,Club,Men,42.9632405,-85.6678639
Toast,Grand Rapids,Club,Mixed,42.9632405,-85.6678639
Berkshire Ultimate Pickup 2017,Great Barrington,Club,Mixed,42.2103722,-73.3389121
Dirty D,Greater Detroit,Club,Men,42.33027,-83.0475557
Possum,Greenville,Club,Mixed,34.851354,-82.3984882
Slam,Greenville,Club,Mixed,34.851354,-82.3984882
Anchor ,Halifax,Club,Mixed,42.7822864,-72.7442976
Red Circus,Halifax,Club,Men,42.7822864,-72.7442976
Salty,Halifax,Club,Women,42.7822864,-72.7442976
Savage,Halifax,Club,Women,42.7822864,-72.7442976
The Collective,Halifax,Club,Women,42.7822864,-72.7442976
Bear Proof,Harrisburg,Club,Men,40.2663107,-76.8861122
Enough Monkeys,Hartford,Club,Mixed,41.7655582,-72.6906128
Big Donkey Ultimate,Haverford,Club,Men,40.0131672,-75.2943516
The Fighting Saints,Helena,Club,Mixed,46.5927425,-112.036277
The Bucket Brigade ,Hot Springs,Club,Men,34.5038393,-93.0552437
DTH,Houston,Club,Men,29.7589382,-95.3676974
Inferno,Houston,Club,Women,29.7589382,-95.3676974
Mud Turtles ,Houston,Club,Mixed,29.7589382,-95.3676974
No Tsu Oh,Houston,Club,Mixed,29.7589382,-95.3676974
Papa Bear,Houston,Club,Men,29.7589382,-95.3676974
tHUMP,Houston,Club,Mixed,29.7589382,-95.3676974
Freaks,Huntsville,Club,Men,34.729847,-86.5859011
Method,Huntsville,Club,Mixed,34.729847,-86.5859011
Rampage,Huntsville,Club,Men,34.729847,-86.5859011
Brickyard,Indianapolis,Club,Men,39.7683331,-86.1583502
INcognito,Indianapolis,Club,Mixed,39.7683331,-86.1583502
Indy Rogue,Indianapolis,Club,Mixed,39.7683331,-86.1583502
Indy Rogue,Indianapolis,Club,Women,39.7683331,-86.1583502
IUF Fall League 2017,Indianapolis,Club,Mixed,39.7683331,-86.1583502
Liquid Hustle,Indianapolis,Club,Mixed,39.7683331,-86.1583502
The Roofing Co.,Indianapolis ,Club,Men,39.7683331,-86.1583502
EuroStars,International,Club,Women,26.1082167,-98.2091001
Illusion,Iowa City,Club,Men,41.6612561,-91.5299106
MidRift,Iowa City,Club,Men,41.6612561,-91.5299106
panIC,Iowa City,Club,Mixed,41.6612561,-91.5299106
Townies,Ithaca,Club,Mixed,42.4396039,-76.4968019
Twonies,Ithaca,Club,Mixed,42.4396039,-76.4968019
Mississippi Blues,Jackson,Club,Mixed,32.2990384,-90.1847691
Bad Beaches,Jacksonville,Club,Women,30.3321838,-81.655651
Bold City,Jacksonville,Club,Mixed,30.3321838,-81.655651
CimaSalta,Jacksonville,Club,Mixed,30.3321838,-81.655651
Hammerhead,Jacksonville,Club,Men,30.3321838,-81.655651
The crew,Jacksonville,Club,Men,30.3321838,-81.655651
The Hucking Dead,Jacksonville,Club,Mixed,30.3321838,-81.655651
The Squad,Jacksonville,Club,Men,30.3321838,-81.655651
Double Dash,Jamaica Plain,Club,Mixed,42.3098201,-71.1203299
Blitzkrieg,Kansas City,Club,Mixed,39.100105,-94.5781416
KC SmokeStack,Kansas City,Club,Men,39.100105,-94.5781416
Prairie Fire,Kansas City,Club,Men,39.100105,-94.5781416
Wicked,Kansas City,Club,Women,39.100105,-94.5781416
Team Rocket ,Katonah,Club,Men,41.25877,-73.6853852
houSE,Kenosha,Club,Men,42.5846773,-87.8212263
Local 613,Kingston,Club,Mixed,41.9287812,-74.0023702
PPF,Kitchener-Waterloo,Club,Women,42.49276,-92.34296
Crash,Kitchener-Waterloo,Club,Mixed,42.49276,-92.34296
MaverNads,Kitchener-Waterloo,Club,Men,42.49276,-92.34296
Crush,Knoxville,Club,Mixed,35.9603948,-83.9210261
Mixed Results,Knoxville,Club,Mixed,35.9603948,-83.9210261
Voodoo,Knoxville,Club,Men,35.9603948,-83.9210261
Distelfink,Lancaster,Club,Mixed,40.03813,-76.3056686
Fear and Loathing,Las Vegas,Club,Mixed,36.1672559,-115.1485163
Upper Valley Ultimate,Lebanon,Club,Mixed,40.3429683,-76.4233816
Bates Orange Whip,Lewiston,Club,Men,46.4195913,-117.0216144
Cold Front,Lewiston,Club,Women,46.4195913,-117.0216144
Gargantuan Spider Dragons,Lewiston,Club,Men,46.4195913,-117.0216144
Black Lung,Lexington,Club,Men,38.0464066,-84.4970393
Mixed Pi,Lexington,Club,Mixed,38.0464066,-84.4970393
Moonshine,Lexington,Club,Mixed,38.0464066,-84.4970393
Solar Eclipse,Lexington,Club,Men,38.0464066,-84.4970393
Mixed on the Rock,Little Rock,Club,Mixed,34.7464809,-92.2895948
Black Market,Lombard,Club,Men,41.8864687,-88.0201536
Black Market II,Lombard,Club,Men,41.8864687,-88.0201536
Black Market X,Lombard,Club,Men,41.8864687,-88.0201536
Black Market Y,Lombard,Club,Men,41.8864687,-88.0201536
Clapham Ultimate,London,Club,Men,37.1289771,-84.0832646
Iceni,London,Club,Women,37.1289771,-84.0832646
Long Beach Legacy,Long Beach,Club,Mixed,33.7690164,-118.191604
Sea Sick,Long Beach Island,Club,Women,39.6357576,-74.1850509
#Beez,Long Island,Club,Mixed,40.851497,-73.0994258
#Birdz,Long Island,Club,Mixed,40.851497,-73.0994258
7 Figures,Los Angeles,Club,Mixed,34.0536909,-118.242766
Family Style,Los Angeles,Club,Mixed,34.0536909,-118.242766
Gridlock,Los Angeles,Club,Men,34.0536909,-118.242766
Point Break,Los Angeles,Club,Mixed,34.0536909,-118.242766
Republic,Los Angeles,Club,Men,34.0536909,-118.242766
Tribe,Los Angeles,Club,Mixed,34.0536909,-118.242766
Viva,Los Angeles,Club,Women,34.0536909,-118.242766
Fifth Element,Louisville,Club,Mixed,38.2542376,-85.759407
Kentucky Flying Circus,Louisville,Club,Men,38.2542376,-85.759407
Deaf Fruit ,Lubbock,Club,Men,33.5635206,-101.879336
Legion ,Lynchburg ,Club,Mixed,37.4137536,-79.1422464
H.O.G. Ultimate,Macon,Club,Men,32.8406946,-83.6324022
